metric,value
sensitivity,0.6194029850746269
specificity,0.8877721943048577
precision,0.7124463519313304
f1_score,0.6626746506986028
accuracy,0.8046242774566474
auroc,0.8400397509937748
cohen_kappa,0.5261072948712546
